150918 163516.153|CONFIG|Thread-5|setFileHandlers|Now logging to D:\CONTEST2015\pc2-9.2.4\bin\logs directory.
150918 163723.236|INFO|Thread-6|dumpPacket|   key: SERVER_CLOCK_OFFSET is: java.util.GregorianCalendar java.util.GregorianCalendar[time=1442323678025,areFieldsSet=true,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id="GMT",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2015,MONTH=8,WEEK_OF_YEAR=38,WEEK_OF_MONTH=3,DAY_OF_MONTH=15,DAY_OF_YEAR=258,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=3,AM_PM=1,HOUR=1,HOUR_OF_DAY=13,MINUTE=27,SECOND=58,MILLISECOND=25,ZONE_OFFSET=0,DST_OFFSET=0]
150918 163723.236|INFO|Thread-6|info|handlePacket start Packet[CLOCK_STARTED] #102 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163723.236|INFO|Thread-6|dumpPacket|Packet CLOCK_STARTED (Seq #102 ) handlePacket
150918 163723.237|INFO|Thread-6|dumpPacket|  From: SERVER0 @ site 1 (dd-PC @ 172.16.107.17) (Contest Id: Default-2794034061787222006)
150918 163723.237|INFO|Thread-6|dumpPacket|    To: SERVER0 @ site 0
150918 163723.237|INFO|Thread-6|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId ADMINISTRATOR1 @ site 1
150918 163723.237|INFO|Thread-6|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
150918 163723.238|INFO|Thread-6|dumpPacket|   key: SERVER_CLOCK_OFFSET is: java.util.GregorianCalendar java.util.GregorianCalendar[time=1442323678025,areFieldsSet=true,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id="GMT",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2015,MONTH=8,WEEK_OF_YEAR=38,WEEK_OF_MONTH=3,DAY_OF_MONTH=15,DAY_OF_YEAR=258,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=3,AM_PM=1,HOUR=1,HOUR_OF_DAY=13,MINUTE=27,SECOND=58,MILLISECOND=25,ZONE_OFFSET=0,DST_OFFSET=0]
150918 163723.250|INFO|Thread-6|contestStarted|debug ContestTime site 1 STARTED 0:00:00
150918 163723.252|INFO|Thread-6|info|Clock for site 1 started by ADMINISTRATOR1 @ site 1 elapsed 0:00:00
150918 163723.253|INFO|Thread-6|info| receiveObject(S) end   got Packet[CLOCK_STARTED] #102 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163738.061|INFO|Thread-7|info| receiveObject(S) start got Packet[CLOCK_STOPPED] #105 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163738.061|INFO|Thread-7|dumpPacket|Packet CLOCK_STOPPED (Seq #105 ) recieveObject
150918 163738.061|INFO|Thread-7|dumpPacket|  From: SERVER0 @ site 1 (dd-PC @ 172.16.107.17) (Contest Id: Default-2794034061787222006)
150918 163738.061|INFO|Thread-7|dumpPacket|    To: SERVER0 @ site 0
150918 163738.062|INFO|Thread-7|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
150918 163738.063|INFO|Thread-7|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId ADMINISTRATOR1 @ site 1
150918 163738.063|INFO|Thread-7|info|handlePacket start Packet[CLOCK_STOPPED] #105 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163738.063|INFO|Thread-7|dumpPacket|Packet CLOCK_STOPPED (Seq #105 ) handlePacket
150918 163738.063|INFO|Thread-7|dumpPacket|  From: SERVER0 @ site 1 (dd-PC @ 172.16.107.17) (Contest Id: Default-2794034061787222006)
150918 163738.064|INFO|Thread-7|dumpPacket|    To: SERVER0 @ site 0
150918 163738.064|INFO|Thread-7|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
150918 163738.064|INFO|Thread-7|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId ADMINISTRATOR1 @ site 1
150918 163738.070|INFO|Thread-7|contestStopped|debug ContestTime site 1 STOPPED 0:00:14
150918 163738.071|INFO|Thread-7|info|Clock for site 1 stopped by ADMINISTRATOR1 @ site 1 elapsed 0:00:14
150918 163738.071|INFO|Thread-7|info| receiveObject(S) end   got Packet[CLOCK_STOPPED] #105 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163742.361|INFO|Thread-8|info| receiveObject(S) start got Packet[CLOCK_STARTED] #106 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163742.362|INFO|Thread-8|dumpPacket|Packet CLOCK_STARTED (Seq #106 ) recieveObject
150918 163742.362|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1 (dd-PC @ 172.16.107.17) (Contest Id: Default-2794034061787222006)
150918 163742.362|INFO|Thread-8|dumpPacket|    To: SERVER0 @ site 0
150918 163742.362|INFO|Thread-8|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId ADMINISTRATOR1 @ site 1
150918 163742.363|INFO|Thread-8|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
150918 163742.364|INFO|Thread-8|dumpPacket|   key: SERVER_CLOCK_OFFSET is: java.util.GregorianCalendar java.util.GregorianCalendar[time=1442323697435,areFieldsSet=true,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id="GMT",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2015,MONTH=8,WEEK_OF_YEAR=38,WEEK_OF_MONTH=3,DAY_OF_MONTH=15,DAY_OF_YEAR=258,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=3,AM_PM=1,HOUR=1,HOUR_OF_DAY=13,MINUTE=28,SECOND=17,MILLISECOND=435,ZONE_OFFSET=0,DST_OFFSET=0]
150918 163742.364|INFO|Thread-8|info|handlePacket start Packet[CLOCK_STARTED] #106 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163742.364|INFO|Thread-8|dumpPacket|Packet CLOCK_STARTED (Seq #106 ) handlePacket
150918 163742.364|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1 (dd-PC @ 172.16.107.17) (Contest Id: Default-2794034061787222006)
150918 163742.365|INFO|Thread-8|dumpPacket|    To: SERVER0 @ site 0
150918 163742.365|INFO|Thread-8|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId ADMINISTRATOR1 @ site 1
150918 163742.365|INFO|Thread-8|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
150918 163742.365|INFO|Thread-8|dumpPacket|   key: SERVER_CLOCK_OFFSET is: java.util.GregorianCalendar java.util.GregorianCalendar[time=1442323697435,areFieldsSet=true,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id="GMT",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2015,MONTH=8,WEEK_OF_YEAR=38,WEEK_OF_MONTH=3,DAY_OF_MONTH=15,DAY_OF_YEAR=258,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=3,AM_PM=1,HOUR=1,HOUR_OF_DAY=13,MINUTE=28,SECOND=17,MILLISECOND=435,ZONE_OFFSET=0,DST_OFFSET=0]
150918 163742.367|INFO|Thread-8|contestStarted|debug ContestTime site 1 STARTED 0:00:14
150918 163742.368|INFO|Thread-8|info|Clock for site 1 started by ADMINISTRATOR1 @ site 1 elapsed 0:00:14
150918 163742.368|INFO|Thread-8|info| receiveObject(S) end   got Packet[CLOCK_STARTED] #106 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163838.195|INFO|Thread-9|info| receiveObject(S) start got Packet[ADD_SETTING] #116 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163838.196|INFO|Thread-9|dumpPacket|Packet ADD_SETTING (Seq #116 ) recieveObject
150918 163838.196|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1 (dd-PC @ 172.16.107.17) (Contest Id: Default-2794034061787222006)
150918 163838.196|INFO|Thread-9|dumpPacket|    To: SERVER0 @ site 0
150918 163838.196|INFO|Thread-9|dumpPacket|   key: LANGUAGE is: edu.csus.ecs.pc2.core.model.Language GNU C++
150918 163838.197|INFO|Thread-9|info|handlePacket start Packet[ADD_SETTING] #116 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163838.197|INFO|Thread-9|dumpPacket|Packet ADD_SETTING (Seq #116 ) handlePacket
150918 163838.197|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1 (dd-PC @ 172.16.107.17) (Contest Id: Default-2794034061787222006)
150918 163838.197|INFO|Thread-9|dumpPacket|    To: SERVER0 @ site 0
150918 163838.198|INFO|Thread-9|dumpPacket|   key: LANGUAGE is: edu.csus.ecs.pc2.core.model.Language GNU C++
150918 163838.199|INFO|Thread-9|info|handlePacket end Packet[ADD_SETTING] #116 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163838.200|INFO|Thread-9|info| receiveObject(S) end   got Packet[ADD_SETTING] #116 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163842.583|INFO|Thread-10|info| receiveObject(S) start got Packet[ADD_SETTING] #117 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163842.584|INFO|Thread-10|dumpPacket|Packet ADD_SETTING (Seq #117 ) recieveObject
150918 163842.584|INFO|Thread-10|dumpPacket|  From: SERVER0 @ site 1 (dd-PC @ 172.16.107.17) (Contest Id: Default-2794034061787222006)
150918 163842.584|INFO|Thread-10|dumpPacket|    To: SERVER0 @ site 0
150918 163842.584|INFO|Thread-10|dumpPacket|   key: LANGUAGE is: edu.csus.ecs.pc2.core.model.Language Java
150918 163842.584|INFO|Thread-10|info|handlePacket start Packet[ADD_SETTING] #117 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163842.585|INFO|Thread-10|dumpPacket|Packet ADD_SETTING (Seq #117 ) handlePacket
150918 163842.585|INFO|Thread-10|dumpPacket|  From: SERVER0 @ site 1 (dd-PC @ 172.16.107.17) (Contest Id: Default-2794034061787222006)
150918 163842.585|INFO|Thread-10|dumpPacket|    To: SERVER0 @ site 0
150918 163842.585|INFO|Thread-10|dumpPacket|   key: LANGUAGE is: edu.csus.ecs.pc2.core.model.Language Java
150918 163842.586|INFO|Thread-10|info|handlePacket end Packet[ADD_SETTING] #117 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163842.586|INFO|Thread-10|info| receiveObject(S) end   got Packet[ADD_SETTING] #117 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163848.798|INFO|Thread-11|info| receiveObject(S) start got Packet[ADD_SETTING] #118 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163848.799|INFO|Thread-11|dumpPacket|Packet ADD_SETTING (Seq #118 ) recieveObject
150918 163848.799|INFO|Thread-11|dumpPacket|  From: SERVER0 @ site 1 (dd-PC @ 172.16.107.17) (Contest Id: Default-2794034061787222006)
150918 163848.799|INFO|Thread-11|dumpPacket|    To: SERVER0 @ site 0
150918 163848.799|INFO|Thread-11|dumpPacket|   key: LANGUAGE is: edu.csus.ecs.pc2.core.model.Language GNU C
150918 163848.800|INFO|Thread-11|info|handlePacket start Packet[ADD_SETTING] #118 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163848.800|INFO|Thread-11|dumpPacket|Packet ADD_SETTING (Seq #118 ) handlePacket
150918 163848.800|INFO|Thread-11|dumpPacket|  From: SERVER0 @ site 1 (dd-PC @ 172.16.107.17) (Contest Id: Default-2794034061787222006)
150918 163848.801|INFO|Thread-11|dumpPacket|    To: SERVER0 @ site 0
150918 163848.801|INFO|Thread-11|dumpPacket|   key: LANGUAGE is: edu.csus.ecs.pc2.core.model.Language GNU C
150918 163848.801|INFO|Thread-11|info|handlePacket end Packet[ADD_SETTING] #118 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163848.801|INFO|Thread-11|info| receiveObject(S) end   got Packet[ADD_SETTING] #118 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163928.929|INFO|Thread-12|info| receiveObject(S) start got Packet[UPDATE_SETTING] #119 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163928.930|INFO|Thread-12|dumpPacket|Packet UPDATE_SETTING (Seq #119 ) recieveObject
150918 163928.930|INFO|Thread-12|dumpPacket|  From: SERVER0 @ site 1 (dd-PC @ 172.16.107.17) (Contest Id: Default-2794034061787222006)
150918 163928.931|INFO|Thread-12|dumpPacket|    To: SERVER0 @ site 0
150918 163928.932|INFO|Thread-12|dumpPacket|   key: LANGUAGE is: edu.csus.ecs.pc2.core.model.Language GNU 
150918 163928.932|INFO|Thread-12|info|handlePacket start Packet[UPDATE_SETTING] #119 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163928.933|INFO|Thread-12|dumpPacket|Packet UPDATE_SETTING (Seq #119 ) handlePacket
150918 163928.933|INFO|Thread-12|dumpPacket|  From: SERVER0 @ site 1 (dd-PC @ 172.16.107.17) (Contest Id: Default-2794034061787222006)
150918 163928.934|INFO|Thread-12|dumpPacket|    To: SERVER0 @ site 0
150918 163928.935|INFO|Thread-12|dumpPacket|   key: LANGUAGE is: edu.csus.ecs.pc2.core.model.Language GNU 
150918 163928.941|INFO|Thread-12|info|handlePacket end Packet[UPDATE_SETTING] #119 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163928.942|INFO|Thread-12|info| receiveObject(S) end   got Packet[UPDATE_SETTING] #119 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163940.372|INFO|Thread-13|info| receiveObject(S) start got Packet[UPDATE_SETTING] #120 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163940.372|INFO|Thread-13|dumpPacket|Packet UPDATE_SETTING (Seq #120 ) recieveObject
150918 163940.372|INFO|Thread-13|dumpPacket|  From: SERVER0 @ site 1 (dd-PC @ 172.16.107.17) (Contest Id: Default-2794034061787222006)
150918 163940.372|INFO|Thread-13|dumpPacket|    To: SERVER0 @ site 0
150918 163940.372|INFO|Thread-13|dumpPacket|   key: LANGUAGE is: edu.csus.ecs.pc2.core.model.Language C++
150918 163940.373|INFO|Thread-13|info|handlePacket start Packet[UPDATE_SETTING] #120 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163940.373|INFO|Thread-13|dumpPacket|Packet UPDATE_SETTING (Seq #120 ) handlePacket
150918 163940.373|INFO|Thread-13|dumpPacket|  From: SERVER0 @ site 1 (dd-PC @ 172.16.107.17) (Contest Id: Default-2794034061787222006)
150918 163940.373|INFO|Thread-13|dumpPacket|    To: SERVER0 @ site 0
150918 163940.373|INFO|Thread-13|dumpPacket|   key: LANGUAGE is: edu.csus.ecs.pc2.core.model.Language C++
150918 163940.374|INFO|Thread-13|info|handlePacket end Packet[UPDATE_SETTING] #120 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163940.374|INFO|Thread-13|info| receiveObject(S) end   got Packet[UPDATE_SETTING] #120 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163947.973|INFO|Thread-14|info| receiveObject(S) start got Packet[UPDATE_SETTING] #121 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163947.974|INFO|Thread-14|dumpPacket|Packet UPDATE_SETTING (Seq #121 ) recieveObject
150918 163947.975|INFO|Thread-14|dumpPacket|  From: SERVER0 @ site 1 (dd-PC @ 172.16.107.17) (Contest Id: Default-2794034061787222006)
150918 163947.975|INFO|Thread-14|dumpPacket|    To: SERVER0 @ site 0
150918 163947.976|INFO|Thread-14|dumpPacket|   key: LANGUAGE is: edu.csus.ecs.pc2.core.model.Language C
150918 163947.976|INFO|Thread-14|info|handlePacket start Packet[UPDATE_SETTING] #121 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163947.976|INFO|Thread-14|dumpPacket|Packet UPDATE_SETTING (Seq #121 ) handlePacket
150918 163947.976|INFO|Thread-14|dumpPacket|  From: SERVER0 @ site 1 (dd-PC @ 172.16.107.17) (Contest Id: Default-2794034061787222006)
150918 163947.976|INFO|Thread-14|dumpPacket|    To: SERVER0 @ site 0
150918 163947.977|INFO|Thread-14|dumpPacket|   key: LANGUAGE is: edu.csus.ecs.pc2.core.model.Language C
150918 163947.977|INFO|Thread-14|info|handlePacket end Packet[UPDATE_SETTING] #121 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 163947.977|INFO|Thread-14|info| receiveObject(S) end   got Packet[UPDATE_SETTING] #121 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 164008.549|INFO|Thread-15|info| receiveObject(S) start got Packet[ADD_SETTING] #123 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 164008.549|INFO|Thread-15|dumpPacket|Packet ADD_SETTING (Seq #123 ) recieveObject
150918 164008.550|INFO|Thread-15|dumpPacket|  From: SERVER0 @ site 1 (dd-PC @ 172.16.107.17) (Contest Id: Default-2794034061787222006)
150918 164008.550|INFO|Thread-15|dumpPacket|    To: SERVER0 @ site 0
150918 164008.550|INFO|Thread-15|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Superman
150918 164008.550|INFO|Thread-15|info|handlePacket start Packet[ADD_SETTING] #123 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 164008.550|INFO|Thread-15|dumpPacket|Packet ADD_SETTING (Seq #123 ) handlePacket
150918 164008.551|INFO|Thread-15|dumpPacket|  From: SERVER0 @ site 1 (dd-PC @ 172.16.107.17) (Contest Id: Default-2794034061787222006)
150918 164008.551|INFO|Thread-15|dumpPacket|    To: SERVER0 @ site 0
150918 164008.551|INFO|Thread-15|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Superman
150918 164008.553|INFO|Thread-15|info|handlePacket end Packet[ADD_SETTING] #123 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 164008.553|INFO|Thread-15|info| receiveObject(S) end   got Packet[ADD_SETTING] #123 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 164015.161|INFO|Thread-16|info| receiveObject(S) start got Packet[ADD_SETTING] #125 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 164015.161|INFO|Thread-16|dumpPacket|Packet ADD_SETTING (Seq #125 ) recieveObject
150918 164015.161|INFO|Thread-16|dumpPacket|  From: SERVER0 @ site 1 (dd-PC @ 172.16.107.17) (Contest Id: Default-2794034061787222006)
150918 164015.162|INFO|Thread-16|dumpPacket|    To: SERVER0 @ site 0
150918 164015.163|INFO|Thread-16|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Batman
150918 164015.163|INFO|Thread-16|info|handlePacket start Packet[ADD_SETTING] #125 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 164015.163|INFO|Thread-16|dumpPacket|Packet ADD_SETTING (Seq #125 ) handlePacket
150918 164015.163|INFO|Thread-16|dumpPacket|  From: SERVER0 @ site 1 (dd-PC @ 172.16.107.17) (Contest Id: Default-2794034061787222006)
150918 164015.164|INFO|Thread-16|dumpPacket|    To: SERVER0 @ site 0
150918 164015.164|INFO|Thread-16|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Batman
150918 164015.164|INFO|Thread-16|info|handlePacket end Packet[ADD_SETTING] #125 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 164015.164|INFO|Thread-16|info| receiveObject(S) end   got Packet[ADD_SETTING] #125 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 164129.328|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for Superman C++ file: D:\Sample\main.cpp
150918 164129.332|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #2 TEAM1 @ site 1 -> SERVER0 @ site 1
150918 164129.333|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #2 TEAM1 @ site 1 -> SERVER0 @ site 1
150918 164129.858|INFO|Thread-19|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #132 SERVER0 @ site 1 -> TEAM1 @ site 1
150918 164129.858|INFO|Thread-19|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #132 ) recieveObject
150918 164129.859|INFO|Thread-19|dumpPacket|  From: SERVER0 @ site 1 (dd-PC @ 172.16.107.17) (Contest Id: Default-2794034061787222006)
150918 164129.859|INFO|Thread-19|dumpPacket|    To: TEAM1 @ site 1
150918 164129.859|INFO|Thread-19|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 4 NEW242389 ms from TEAM1 @ site 1 id Run--5907841621265948398
150918 164129.859|INFO|Thread-19|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #132 SERVER0 @ site 1 -> TEAM1 @ site 1
150918 164129.859|INFO|Thread-19|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #132 ) handlePacket
150918 164129.860|INFO|Thread-19|dumpPacket|  From: SERVER0 @ site 1 (dd-PC @ 172.16.107.17) (Contest Id: Default-2794034061787222006)
150918 164129.860|INFO|Thread-19|dumpPacket|    To: TEAM1 @ site 1
150918 164129.860|INFO|Thread-19|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 4 NEW242389 ms from TEAM1 @ site 1 id Run--5907841621265948398
150918 164131.136|INFO|Thread-19|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #132 SERVER0 @ site 1 -> TEAM1 @ site 1
150918 164437.652|INFO|Thread-20|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #161 SERVER0 @ site 1 -> TEAM1 @ site 1
150918 164437.652|INFO|Thread-20|dumpPacket|Packet RUN_JUDGEMENT (Seq #161 ) recieveObject
150918 164437.652|INFO|Thread-20|dumpPacket|  From: SERVER0 @ site 1 (dd-PC @ 172.16.107.17) (Contest Id: Default-2794034061787222006)
150918 164437.652|INFO|Thread-20|dumpPacket|    To: TEAM1 @ site 1
150918 164437.653|INFO|Thread-20|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
150918 164437.653|INFO|Thread-20|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE1 @ site 1 judgement No - Compilation Error-1609324167954780181 id JudgementRecord--7970671142195351492
150918 164437.653|INFO|Thread-20|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 4 JUDGED242389 ms from TEAM1 @ site 1 id Run--5907841621265948398
150918 164437.653|INFO|Thread-20|info|handlePacket start Packet[RUN_JUDGEMENT] #161 SERVER0 @ site 1 -> TEAM1 @ site 1
150918 164437.654|INFO|Thread-20|dumpPacket|Packet RUN_JUDGEMENT (Seq #161 ) handlePacket
150918 164437.654|INFO|Thread-20|dumpPacket|  From: SERVER0 @ site 1 (dd-PC @ 172.16.107.17) (Contest Id: Default-2794034061787222006)
150918 164437.654|INFO|Thread-20|dumpPacket|    To: TEAM1 @ site 1
150918 164437.654|INFO|Thread-20|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
150918 164437.654|INFO|Thread-20|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE1 @ site 1 judgement No - Compilation Error-1609324167954780181 id JudgementRecord--7970671142195351492
150918 164437.655|INFO|Thread-20|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 4 JUDGED242389 ms from TEAM1 @ site 1 id Run--5907841621265948398
150918 164442.711|INFO|Thread-20|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #161 SERVER0 @ site 1 -> TEAM1 @ site 1
150918 165055.565|INFO|Thread-21|info| receiveObject(S) start got Packet[UPDATE_SETTING] #174 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 165055.566|INFO|Thread-21|dumpPacket|Packet UPDATE_SETTING (Seq #174 ) recieveObject
150918 165055.566|INFO|Thread-21|dumpPacket|  From: SERVER0 @ site 1 (dd-PC @ 172.16.107.17) (Contest Id: Default-2794034061787222006)
150918 165055.566|INFO|Thread-21|dumpPacket|    To: SERVER0 @ site 0
150918 165055.566|INFO|Thread-21|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem A. Superman
150918 165055.566|INFO|Thread-21|info|handlePacket start Packet[UPDATE_SETTING] #174 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 165055.567|INFO|Thread-21|dumpPacket|Packet UPDATE_SETTING (Seq #174 ) handlePacket
150918 165055.567|INFO|Thread-21|dumpPacket|  From: SERVER0 @ site 1 (dd-PC @ 172.16.107.17) (Contest Id: Default-2794034061787222006)
150918 165055.567|INFO|Thread-21|dumpPacket|    To: SERVER0 @ site 0
150918 165055.567|INFO|Thread-21|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem A. Superman
150918 165055.569|INFO|Thread-21|info|handlePacket end Packet[UPDATE_SETTING] #174 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 165055.570|INFO|Thread-21|info| receiveObject(S) end   got Packet[UPDATE_SETTING] #174 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 165119.131|INFO|Thread-22|info| receiveObject(S) start got Packet[ADD_SETTING] #176 SERVER0 @ site 1 -> SERVER0 @ site 0
150918 165119.131|INFO|Thread-22|dumpPacket|Packet ADD_SETTING (Seq #176 ) recieveObject
